Correctness Check: Input [5, 2, 9, 1, 5, 6]
Insertion Sort: [1, 2, 5, 5, 6, 9]
Merge Sort:     [1, 2, 5, 5, 6, 9]
Quick Sort:     [1, 2, 5, 5, 6, 9]
--------------------------------------------------
Size       | Type            | Insertion (ms)  | Merge (ms)      | Quick (ms)     
--------------------------------------------------------------------------------
1000       | Random          | 30.06           | 2.32            | 1.13           
1000       | Sorted          | 0.23            | 1.39            | 40.22          
1000       | Reverse-Sorted  | 38.83           | 1.08            | 44.58          
5000       | Random          | 502.69          | 9.29            | 5.88           
5000       | Sorted          | 0.75            | 6.82            | 1486.81        
5000       | Reverse-Sorted  | 1073.86         | 6.31            | 727.22         
10000      | Random          | 2121.60         | 19.56           | 11.41          
10000      | Sorted          | 0.99            | 11.99           | 4081.23        
10000      | Reverse-Sorted  | 3986.60         | 13.56           | 2827.39        
